razao_social,nome,cnpj,text,cnae,situacao,fantasia,abertura,email,telefone,tipo,natureza_juridica,bairro,cep,uf
COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO,COMPANHIA BRASILEIRA DE DISTRIBUICAO,47.508.411/0001-56,Comércio varejista de outros produtos não especificados anteriormente,47.89-0-99,ATIVA,,19/11/1981,paralegal@grupopaodeacucar.com.br,(11) 4004-0010,MATRIZ,204-6 - Sociedade Anônima Aberta,JD PAULISTA,01.402-000,SP
MAGAZINE LUIZA SA,MAGAZINE LUIZA S/A,47.960.950/0001-21,"Lojas de departamentos ou magazines, exceto lojas francas (Duty free)",47.13-0-04,ATIVA,MAGAZINE LUIZA,24/10/1966,fiscal.estadual@magazineluiza.com.br,(16) 3711-2002,MATRIZ,204-6 - Sociedade Anônima Aberta,CENTRO,14.400-490,SP
HELBOR EMPREENDIMENTOS S/A,HELBOR EMPREENDIMENTOS S.A.,49.263.189/0001-02,Incorporação de empreendimentos imobiliários,41.10-7-00,ATIVA,,20/10/1977,,(11) 4795-8555,MATRIZ,204-6 - Sociedade Anônima Aberta,JARDIM ARMENIA,08.780-500,SP
RESTOQUE COMÉRCIO E CONFECÇÕES DE ROUPAS SA,RESTOQUE COMERCIO E CONFECCOES DE ROUPAS S/A,49.669.856/0001-43,Comércio varejista de artigos do vestuário e acessórios,47.81-4-00,ATIVA,,19/04/1982,friedrichameln@uol.com.br,(11) 5573-3057/ (11) 5549-2043,MATRIZ,204-6 - Sociedade Anônima Aberta,CERQUEIRA CESAR,01.426-001,SP
BOMBRIL SA,BOMBRIL S/A,50.564.053/0001-03,Fabricação de produtos de limpeza e polimento,20.62-2-00,ATIVA,,22/06/1982,tributario@bombril.com.br,,MATRIZ,204-6 - Sociedade Anônima Aberta,RUDGE RAMOS,09.696-005,SP
COSAN S.A.,COSAN S.A.,50.746.577/0001-15,Holdings de instituições não-financeiras,64.62-0-00,ATIVA,,08/07/1966,fiscalizacaocar@raizen.com,(19) 3423-8000,MATRIZ,204-6 - Sociedade Anônima Aberta,ITAIM BIBI,04.538-132,SP
VULCABRAS|AZALEIA S.A.,VULCABRAS AZALEIA S/A,50.926.955/0001-42,"Representantes comerciais e agentes do comércio de têxteis, vestuário, calçados e artigos de viagem",46.16-8-00,ATIVA,,01/07/1966,,,MATRIZ,204-6 - Sociedade Anônima Aberta,DA GRAMA,13.219-001,SP
NUTRIPLANT INDUSTRIA E COMÉRCIO S/A,NUTRIPLANT INDUSTRIA E COMERCIO S/A,51.128.999/0001-90,Fabricação de outros produtos químicos inorgânicos não especificados anteriormente,20.19-3-99,ATIVA,,16/10/1979,nutriplant@nutriplant.com.br,(11) 4161-7600/ (11) 4161-2036,MATRIZ,204-6 - Sociedade Anônima Aberta,VILA ENGENHO NOVO,06.415-110,SP
IGUATEMI EMPRESA DE SHOPPING CENTERS S/A,IGUATEMI EMPRESA DE SHOPPING CENTERS S/A,51.218.147/0001-93,Gestão e administração da propriedade imobiliária,68.22-6-00,ATIVA,,07/06/1979,crsouza@iguatemi.com.br,(11) 3137-6878,MATRIZ,204-6 - Sociedade Anônima Aberta,JARDIM EUROPA,01.455-070,SP
SÃO MARTINHO SA,SAO MARTINHO S/A,51.466.860/0001-56,Fabricação de açúcar em bruto,10.71-6-00,ATIVA,SAO MARTINHO,08/08/1966,tributos.csc@saomartinho.ind.br,(16) 3981-9000,MATRIZ,204-6 - Sociedade Anônima Aberta,ZONA RURAL,14.850-000,SP
PLASCAR PARTICIPAÇÕES INDUSTRIAIS S.A,PLASCAR PARTICIPACOES INDUSTRIAIS S/A,51.928.174/0001-50,Holdings de instituições não-financeiras,64.62-0-00,ATIVA,PLASCAR S/A,21/10/1982,denise.marcelo@plascargroup.com,(11) 3109-2921,MATRIZ,204-6 - Sociedade Anônima Aberta,DISTRITO INDUSTRIAL,13.213-000,SP
JSL S.A.,JSL S/A.,52.548.435/0001-79,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",49.30-2-02,ATIVA,JSL,10/12/1969,isabela.rodrigues@jsl.com.br,(11) 2377-7000,MATRIZ,204-6 - Sociedade Anônima Aberta,ITAIM BIBI,04.530-001,SP
TOTVS S.A,TOTVS S.A.,53.113.791/0001-22,Desenvolvimento de programas de computador sob encomenda,62.01-5-01,ATIVA,TOTVS S/A,13/12/1983,msiga@microsiga.com.br,(11) 3981-7000,MATRIZ,204-6 - Sociedade Anônima Aberta,CASA VERDE,02.511-000,SP
EUCATEX SA IND E COMERCIO,EUCATEX S A INDUSTRIA E COMERCIO,56.643.018/0001-66,"Fabricação de madeira laminada e de chapas de madeira compensada, prensada e aglomerada",16.21-8-00,ATIVA,,22/08/1966,caressat@eucatex.com.br,(11) 3049-2427,MATRIZ,204-6 - Sociedade Anônima Aberta,VILA OLIMPIA,04.543-900,SP
INDÚSTRIAS ROMI S.A.,INDUSTRIAS ROMI S A,56.720.428/0001-63,"Fabricação de máquinas-ferramenta, peças e acessórios",28.40-2-00,ATIVA,,12/07/1966,,(19) 3455-9220,MATRIZ,204-6 - Sociedade Anônima Aberta,VILA ROMI,13.453-900,SP
BICICLETAS MONARK SA,BICICLETAS MONARK S A,56.992.423/0001-90,"Fabricação de bicicletas e triciclos não-motorizados, peças e acessórios",30.92-0-00,ATIVA,,15/07/1966,contabilidade@monark.com.br,(19) 3936-4844/ (19) 3935-9230,MATRIZ,204-6 - Sociedade Anônima Aberta,DISTRITO INDUSTRIAL DOMINGOS GIOMI,13.347-370,SP
ODONTOPREV S/A,ODONTOPREV S.A.,58.119.199/0001-51,Planos de saúde,65.50-2-00,ATIVA,,28/08/1987,dformenti@odontoprev.com.br,(11) 4878-8200/ (11) 4878-8221,MATRIZ,204-6 - Sociedade Anônima Aberta,TAMBORE,06.460-040,SP
WHIRLPOOL S.A,WHIRLPOOL S.A,59.105.999/0001-86,"Fabricação de fogões, refrigeradores e máquinas de lavar e secar para uso doméstico, peças e acessórios",27.51-1-00,ATIVA,UNIDADE DE ELETRODOMESTICOS,08/08/1966,gcg-tax_indiretos-usp@whirlpool.com,(11) 3566-1431,MATRIZ,204-6 - Sociedade Anônima Aberta,BROOKLIN PAULISTA,04.578-000,SP
BANCO PAN SA,BANCO PAN S.A.,59.285.411/0001-13,"Bancos múltiplos, com carteira comercial",64.22-1-00,ATIVA,,23/08/1966,,(11) 4002-1687,MATRIZ,204-6 - Sociedade Anônima Aberta,BELA VISTA,01.310-100,SP
POLPAR S.A.,POLPAR S/A,59.789.545/0001-71,Holdings de instituições não-financeiras,64.62-0-00,ATIVA,,13/12/1988,acalazans@suzano.com.br,(11) 3503-9090 / (11) 3503-9000 / (11) 3503-9076,MATRIZ,204-6 - Sociedade Anônima Aberta,JARDIM PAULISTANO,01.452-919,SP
PARANAPANEMA SA,PARANAPANEMA S/A,60.398.369/0004-79,Metalurgia do cobre,24.43-1-00,ATIVA,,21/10/2009,jamyr@paranapanema.com.br,(11) 2199-7542/ (71) 2199-1692,FILIAL,204-6 - Sociedade Anônima Aberta,AREA INDUSTRIAL NORTE,42.850-000,BA
MAHLE METAL LEVE S.A.,MAHLE METAL LEVE S.A.,60.476.884/0001-87,Fabricação de peças e acessórios para o sistema motor de veículos automotores,29.41-7-00,ATIVA,,27/09/1966,,(019) 3861-9248,MATRIZ,204-6 - Sociedade Anônima Aberta,MOMBACA,13.840-970,SP
SARAIVA SA LIVREIROS EDITORES,SARAIVA LIVREIROS S.A. - EM RECUPERACAO JUDICIAL,60.500.139/0001-26,Edição de livros (Dispensada *),58.11-5-00,ATIVA,,16/08/1966,compliance-tributos@saraiva.com.br,(11) 4637-9223,MATRIZ,204-6 - Sociedade Anônima Aberta,PINHEIROS,05.413-909,SP
JEREISSATI PARTICIPAÇÕES S/A,JEREISSATI PARTICIPACOES S.A,60.543.816/0001-93,Holdings de instituições não-financeiras,64.62-0-00,ATIVA,,21/07/1966,csoliveira@gj.com.br,(11) 3137-6913,MATRIZ,204-6 - Sociedade Anônima Aberta,JARDIM EUROPA,01.455-070,SP
INDS J B DUARTE SA,INDUSTRIAS J.B. DUARTE S/A.,60.637.238/0001-54,Comércio atacadista de produtos alimentícios em geral,46.39-7-01,ATIVA,,16/06/1972,itamarati.assessoria@bol.com.br,(11) 3337-7373 / (11) 3337-7373,MATRIZ,204-6 - Sociedade Anônima Aberta,MOOCA,03.102-000,SP
SUZANO HOLDING S.A.,SUZANO HOLDING S.A.,60.651.809/0001-05,Holdings de instituições não-financeiras,64.62-0-00,ATIVA,,12/04/1972,acalazans@suzano.com.br,(11) 3503-9090/ (11) 3503-9000,MATRIZ,204-6 - Sociedade Anônima Aberta,JARDIM PAULISTANO,01.452-919,SP
COMPANHIA  MELHORAMENTOS DE SÃO PAULO,COMPANHIA MELHORAMENTOS DE SAO PAULO,60.730.348/0001-66,Holdings de instituições não-financeiras,64.62-0-00,ATIVA,MELHORAMENTOS,30/11/1967,elaine@melhoramentos.com.br,(11) 3874-0696,MATRIZ,204-6 - Sociedade Anônima Aberta,VILA ROMANA,05.051-000,SP
BANCO BRADESCO S.A.,BANCO BRADESCO S.A.,60.746.948/0001-12,"Bancos múltiplos, com carteira comercial",64.22-1-00,ATIVA,BRADESCO EST UNIF,02/03/1943,,(11) 3684-5122,MATRIZ,204-6 - Sociedade Anônima Aberta,VILA YARA,06.029-900,SP
BANCO ALFA DE INVESTIMENTO SA,BANCO ALFA DE INVESTIMENTO S.A.,60.770.336/0001-65,Bancos de investimento,64.32-8-00,ATIVA,,30/08/1966,,,MATRIZ,204-6 - Sociedade Anônima Aberta,CERQUEIRA CESAR,01.418-000,SP
FLEURY SA,FLEURY S.A.,60.840.055/0001-31,Laboratórios clínicos,86.40-2-02,ATIVA,FLEURY MEDICINA E SAUDE,19/07/1966,,(11) 5035-1986/ (11) 5035-2175,MATRIZ,204-6 - Sociedade Anônima Aberta,JABAQUARA,04.344-070,SP
BARDELLA SA INDS MECANICAS,BARDELLA SA INDUSTRIAS MECANICAS EM RECUPERACAO JUDICIAL,60.851.615/0001-53,"Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de cargas, peças e acessórios",28.22-4-02,ATIVA,,15/02/1971,,,MATRIZ,204-6 - Sociedade Anônima Aberta,CUMBICA,07.220-902,SP
ITAÚ UNIBANCO HOLDING S.A.,ITAU UNIBANCO HOLDING S.A.,60.872.504/0001-23,"Bancos múltiplos, com carteira comercial",64.22-1-00,ATIVA,,31/12/1965,,(11) 5019-1879,MATRIZ,204-6 - Sociedade Anônima Aberta,PARQUE JABAQUARA,04.344-902,SP
NORDON INDS METALURGICAS SA,NORDON INDUSTRIAS METALURGICAS S A,60.884.319/0001-59,Manutenção e reparação de outras máquinas e equipamentos para usos industriais não especificados anteriormente,33.14-7-99,ATIVA,EST UNIF,15/07/1966,,,MATRIZ,204-6 - Sociedade Anônima Aberta,UTINGA,09.080-620,SP
USINAS SIDERURGICAS DE MINAS GERAIS SA,USINAS SIDERURGICAS DE MINAS GERAIS S/A. USIMINAS,60.894.730/0001-05,"Produção de laminados planos de aço ao carbono, revestidos ou não",24.22-9-01,ATIVA,,08/09/1966,,(0031) 0499-8561,MATRIZ,204-6 - Sociedade Anônima Aberta,ENGENHO NOGUEIRA,31.310-260,MG
CESP – COMPANHIA ENERGÉTICA DE SÃO PAULO,CESP - COMPANHIA ENERGETICA DE SAO PAULO,60.933.603/0001-78,Geração de energia elétrica,35.11-5-01,ATIVA,,22/01/1968,csccertidoes@votorantim.com,(11) 5613-2100,MATRIZ,204-6 - Sociedade Anônima Aberta,PINHEIROS,05.425-070,SP
CONST ADOLPHO LINDENBERG SA,CONSTRUTORA ADOLPHO LINDENBERG S/A,61.022.042/0001-18,Construção de edifícios,41.20-4-00,ATIVA,CAL S/A,25/10/1966,fiscal@lindenberg.com.br,(11) 3826-6796/ (11) 3706-2720,MATRIZ,204-6 - Sociedade Anônima Aberta,ITAIM BIBI,04.534-002,SP
BANCO INDUSVAL S.A.,BANCO INDUSVAL SA,61.024.352/0001-71,Bancos comerciais,64.21-2-00,ATIVA,,10/04/1967,aduarte@bip.b.br,(11) 3315-6777 / (11) 2103-9460,MATRIZ,204-6 - Sociedade Anônima Aberta,VILA NOVA CONCEICAO,04.543-000,SP
MANGELS INDUSTRIAL S.A.,MANGELS INDUSTRIAL S.A.,61.065.298/0001-02,Fabricação de outras peças e acessórios para veículos automotores não especificadas anteriormente,29.49-2-99,ATIVA,,06/07/1966,f.moraes@mangels.com.br,(11) 4341-1580,MATRIZ,204-6 - Sociedade Anônima Aberta,CENTRO,09.750-730,SP
ROSSI RESIDENCIAL SA,ROSSI RESIDENCIAL SA,61.065.751/0001-80,Construção de edifícios,41.20-4-00,ATIVA,,20/01/1966,fiscalrossi@rossiresidencial.com.br,(11) 4058-2000,MATRIZ,204-6 - Sociedade Anônima Aberta,SANTO AMARO,04.709-111,SP
NADIR FIGUEIREDO IND E COM SA,NADIR FIGUEIREDO IND COM S A,61.067.161/0001-97,Fabricação de artigos de vidro,23.19-2-00,ATIVA,,08/07/1966,antonioivo@nadir.com.br,(11) 2967-8820,MATRIZ,204-6 - Sociedade Anônima Aberta,CARANDIRU,02.029-000,SP
ALPARGATAS SA,ALPARGATAS S.A.,61.079.117/0001-05,Preparação e fiação de fibras de algodão,13.11-1-00,ATIVA,,09/04/1907,amc@alpargatas.com.br,(11) 3847-7322,MATRIZ,204-6 - Sociedade Anônima Aberta,VILA GERTRUDES,04.794-000,SP
MANUFATURA DE  BRINQUEDOS ESTRELA SA,MANUFATURA DE BRINQUEDOS ESTRELA S A,61.082.004/0001-50,Fabricação de outros brinquedos e jogos recreativos não especificados anteriormente,32.40-0-99,ATIVA,BRINQUEDOS ESTRELA,15/06/1972,fiscal@estrela.com.br,(11) 2102-7056/ (11) 2102-7031,MATRIZ,204-6 - Sociedade Anônima Aberta,PINHEIROS,05.423-180,SP
CAMBUCI SA,CAMBUCI S/A,61.088.894/0001-08,Fabricação de artefatos de couro não especificados anteriormente,15.29-7-00,ATIVA,PENALTY,11/07/1966,daniela.castro@cambuci.com.br,(11) 4713-9500,MATRIZ,204-6 - Sociedade Anônima Aberta,CIDADE MONCOES,04.571-000,SP
ETERNIT S.A.- EM RECUPERAÇÃO JUDICIAL,ETERNIT S.A EM RECUPERACAO JUDICIAL,61.092.037/0001-81,Fabricação de artefatos de fibrocimento para uso na construção,23.30-3-03,ATIVA,ETERNIT,27/04/1973,tributario-sp@eternit.com.br,,MATRIZ,204-6 - Sociedade Anônima Aberta,PINHEIROS,05.423-040,SP
IOCHPE-MAXION SA,IOCHPE-MAXION S.A.,61.156.113/0001-75,Fabricação de outras peças e acessórios para veículos automotores não especificadas anteriormente,29.49-2-99,ATIVA,,06/10/1969,nilosiqueira@maxionsc.com,(12) 2122-1957,MATRIZ,204-6 - Sociedade Anônima Aberta,ITAGACABA,12.730-900,SP
SIDERURGICA J L ALIPERTI SA,SIDERURGICA J L ALIPERTI S A,61.156.931/0001-78,"Produção de relaminados, trefilados e perfilados de aço, exceto arames",24.24-5-02,ATIVA,,13/07/1966,,(011) 5770-017 / (011) 5770-017,MATRIZ,204-6 - Sociedade Anônima Aberta,AGUA FUNDA,04.156-090,SP
BANCO BMG S/A,BANCO BMG SA,61.186.680/0001-74,"Bancos múltiplos, com carteira comercial",64.22-1-00,ATIVA,,20/07/1966,fiscal@bancobmg.com.br,(11) 0000-0001,MATRIZ,205-4 - Sociedade Anônima Fechada,VILA NOVA CONCEICAO,04.543-000,SP
MARISA LOJAS SA,MARISA LOJAS S.A.,61.189.288/0001-89,Comércio varejista de artigos do vestuário e acessórios,47.81-4-00,ATIVA,LOJAS MARISA,25/08/1966,opublico@marisa.com.br,(011) 3660-6045,MATRIZ,204-6 - Sociedade Anônima Aberta,BARRA FUNDA,01.138-000,SP
AZEVEDO & TRAVASSOS SA,AZEVEDO & TRAVASSOS S/A,61.351.532/0001-68,Construção de rodovias e ferrovias,42.11-1-01,ATIVA,,19/07/1966,www.azevedo@azevedotravassos.com.br,(0011) 3974-8787,MATRIZ,204-6 - Sociedade Anônima Aberta,VILA MIRANTE,02.955-080,SP
BAUMER SA,BAUMER S A,61.374.161/0001-30,"Fabricação de instrumentos não-eletrônicos e utensílios para uso médico, cirúrgico, odontológico e de laboratório",32.50-7-01,ATIVA,,19/05/1971,claudio@baumer.com.br,(19) 3805-7665/ (19) 3805-7661,MATRIZ,204-6 - Sociedade Anônima Aberta,DISTRITO INDUSTRIAL I JOSE MARANGONI,13.803-330,SP
DIAGNOSTICOS DA AMERICA SA,DIAGNOSTICOS DA AMERICA S.A .,61.486.650/0001-83,Laboratórios clínicos,86.40-2-02,ATIVA,,17/07/1966,tributario@dasa.com.br,(11) 2630-3000/ (11) 2630-2726,MATRIZ,204-6 - Sociedade Anônima Aberta,ALPHAVILLE,06.455-010,SP
ITAÚSA – INVESTIMENTOS ITAÚ S.A.,ITAUSA-INVESTIMENTOS ITAU S/A.,61.532.644/0001-15,Holdings de instituições não-financeiras,64.62-0-00,ATIVA,,04/08/1966,contabilidade@itausa.com.br,(11) 3543-4782,MATRIZ,204-6 - Sociedade Anônima Aberta,BELA VISTA,01.310-200,SP
REDE ENERGIA PARTICIPAÇÕES S.A.,REDE ENERGIA PARTICIPACOES S.A.,61.584.140/0001-49,Distribuição de energia elétrica,35.14-0-00,ATIVA,,17/08/1966,henrique@energisa.com.br,(32) 3429-6516,MATRIZ,204-6 - Sociedade Anônima Aberta,CENTRO,36.770-901,MG
RAIA DROGASIL S.A.,RAIA DROGASIL S/A,61.585.865/0001-51,"Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas",47.71-7-01,ATIVA,,22/06/1972,vsouza@rd.com.br,(11) 3769-5731/ (11) 3769-5707,MATRIZ,204-6 - Sociedade Anônima Aberta,VILA BUTANTA,05.339-900,SP
COMPANHIA DE GÁS DE SÃO PAULO – COMGÁS,COMPANHIA DE GAS DE SAO PAULO COMGAS,61.856.571/0001-17,Produção de gás; processamento de gás natural,35.20-4-01,ATIVA,,12/06/1972,fiscalizacaocar@raizen.com,(19) 3423-8000,MATRIZ,204-6 - Sociedade Anônima Aberta,ITAIM BIBI,04.538-132,SP
SÃO PAULO TURISMO S. A.,SAO PAULO TURISMO S/A,62.002.886/0001-60,Aluguel de imóveis próprios,68.10-2-02,ATIVA,PARQUE ANHEMBI,18/03/1968,,,MATRIZ,204-6 - Sociedade Anônima Aberta,PARQUE ANHEMBI,02.012-021,SP
BANCO PINE S/A,BANCO PINE S/A,62.144.175/0001-20,"Bancos múltiplos, com carteira comercial",64.22-1-00,ATIVA,,25/07/1968,,(11) 3372-5749,MATRIZ,204-6 - Sociedade Anônima Aberta,VILA NOVA CONCEICAO,04.543-000,SP
CAMIL ALIMENTOS S/A,CAMIL ALIMENTOS S.A.,64.904.295/0001-03,Beneficiamento de arroz,10.61-9-01,ATIVA,,04/12/1990,tributario.camil@camil.com.br,(11) 3649-1100/ (11) 3649-1155,MATRIZ,204-6 - Sociedade Anônima Aberta,VILA ANASTACIO,05.093-902,SP
RNI NEGÓCIOS IMOBILIÁRIOS S.A.,RNI NEGOCIOS IMOBILIARIOS S.A.,67.010.660/0001-24,Construção de edifícios,41.20-4-00,ATIVA,RNI NEGOCIOS IMOBILIARIOS S.A.,17/10/1991,rni.i057@rodobensimoveis.com.br,(17) 2137-1700 / (17) 2137-1827 / (17) 2137-1725,MATRIZ,204-6 - Sociedade Anônima Aberta,HIGIENOPOLIS,15.085-485,SP
VIVER INCORP. E CONSTRUTORA S.A.- EM RECUPERAÇÃO JUDICIAL,VIVER INCORPORADORA E CONSTRUTORA S.A. EM RECUPERACAO JUDICIAL,67.571.414/0001-41,Construção de edifícios,41.20-4-00,ATIVA,,12/02/1992,contabilidade@viver.com.br,(11) 3046-3096,MATRIZ,204-6 - Sociedade Anônima Aberta,VILA OLIMPIA,04.551-010,SP
MINERVA S/A,MINERVA S.A.,67.620.377/0001-14,Fabricação de produtos de carne,10.13-9-01,ATIVA,,11/03/1992,jose.ferreira@minervafoods.com,(17) 3321-3355/ (17) 3321-3343,MATRIZ,204-6 - Sociedade Anônima Aberta,ROTATORIA FAMILIA VILELA DE QUEIROZ,14.781-545,SP
CONSTRUTORA TENDA S/A,CONSTRUTORA TENDA S/A,71.476.527/0001-35,Construção de edifícios,41.20-4-00,ATIVA,,21/01/1994,gbigon@tenda.com,(11) 3111-2597,MATRIZ,204-6 - Sociedade Anônima Aberta,CENTRO,01.012-001,SP
CYRELA BRAZIL REALTY SA EMPRS E PARTS,CYRELA BRAZIL REALTY S.A. EMPREENDIMENTOS E PARTICIPACOES,73.178.600/0001-18,Incorporação de empreendimentos imobiliários,41.10-7-00,ATIVA,,13/12/1993,deptodetributos@cyrela.com.br,(11) 3839-7009 / (11) 3839-7010,MATRIZ,204-6 - Sociedade Anônima Aberta,VILA OLIMPIA,04.552-000,SP
ATACADÃO S.A.,ATACADAO S.A.,75.315.333/0001-09,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados",47.11-3-01,ATIVA,GRUPO CARREFOUR BRASIL,28/08/1973,tributario@atacadao.com.br,(11) 2967-8261/ (11) 2967-8284,MATRIZ,204-6 - Sociedade Anônima Aberta,VL MARIA BAIXA,02.170-901,SP
COMPANHIA PARANAENSE DE ENERGIA,COMPANHIA PARANAENSE DE ENERGIA,76.483.817/0001-20,Holdings de instituições não-financeiras,64.62-0-00,ATIVA,COPEL,03/08/1966,,,MATRIZ,203-8 - Sociedade de Economia Mista,BATEL,80.420-170,PR
CIA. DE SANEAMENTO DO PARANÁ – SANEPAR,COMPANHIA DE SANEAMENTO DO PARANA SANEPAR,76.484.013/0001-45,"Captação, tratamento e distribuição de água",36.00-6-01,ATIVA,SANEPAR,26/01/1968,contabil@sanepar.com.br,(41) 3330-3636/ (41) 3330-3082,MATRIZ,203-8 - Sociedade de Economia Mista,REBOUCAS,80.215-100,PR
OI S.A. – EM RECUPERAÇÃO JUDICIAL,OI S.A. - EM RECUPERACAO JUDICIAL,76.535.764/0001-43,Serviços de telefonia fixa comutada - STFC,61.10-8-01,ATIVA,OI,26/09/1966,,(21) 3131-3589/ (21) 3131-3100,MATRIZ,204-6 - Sociedade Anônima Aberta,CENTRO,20.230-070,RJ
INEPAR SA IND E CONSTRUÇÕES – EM RECUPERAÇÃO JUDICIAL,INEPAR S.A. INDUSTRIA E CONSTRUCOES EM RECUPERACAO JUDICIAL,76.627.504/0001-06,Fabricação de aparelhos e equipamentos para distribuição e controle de energia elétrica,27.31-7-00,ATIVA,,20/12/1971,jair.malpica@iesa.com.br,(41) 3072-0808 / (41) 3025-1313 / (41) 3025-1313,MATRIZ,204-6 - Sociedade Anônima Aberta,CENTRO,80.410-180,PR
CIA HERING,CIA. HERING,78.876.950/0001-71,"Fabricação de artigos do vestuário, produzidos em malharias e tricotagens, exceto meias",14.22-3-00,ATIVA,,22/08/1985,fiscal@ciahering.com.br,(47) 3321-3504/ (47) 3321-3360,MATRIZ,204-6 - Sociedade Anônima Aberta,BOM RETIRO,89.010-900,SC
METALGRAFICA IGUACU SA,METALGRAFICA IGUACU S A,80.227.184/0001-66,Fabricação de embalagens metálicas,25.91-8-00,ATIVA,,06/12/1951,iguacu@metaliguacu.com.br,(42) 3219-2822,MATRIZ,204-6 - Sociedade Anônima Aberta,NOVA RUSSIA,84.070-040,PR
POSITIVO TECNOLOGIA S.A.,POSITIVO TECNOLOGIA S.A.,81.243.735/0001-48,Fabricação de equipamentos de informática,26.21-3-00,ATIVA,,26/05/1989,fiscal@positivo.com.br,(41) 3316-7700,MATRIZ,204-6 - Sociedade Anônima Aberta,CIDADE INDUSTRIAL DE CURITIBA,81.350-000,PR
CIA CAT. DE ÁGUAS E SANEAMENTO – CASAN,COMPANHIA CATARINENSE DE AGUAS E SANEAMENTO CASAN,82.508.433/0001-17,Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente,82.99-7-99,ATIVA,CASAN,27/07/1971,casan@casan.com.br,(0048) 0221-5000,MATRIZ,203-8 - Sociedade de Economia Mista,CENTRO,88.020-010,SC
TEKA TECELAGEM KUEHNRICH SA – EM RECUPERAÇÃO JUDICIAL,TEKA TECELAGEM KUEHNRICH SA - EM RECUPERACAO JUDICIAL,82.636.986/0001-55,Fabricação de artefatos têxteis para uso doméstico,13.51-1-00,ATIVA,TEKA EST UNIF,21/01/1966,,,MATRIZ,204-6 - Sociedade Anônima Aberta,ITOUPAVA NORTE,89.052-900,SC
KARSTEN SA,KARSTEN S.A.,82.640.558/0001-04,Fabricação de artefatos têxteis para uso doméstico,13.51-1-00,ATIVA,,25/08/1966,fiscal@karsten.com.br,(47) 3331-4336/ (47) 3331-4340,MATRIZ,204-6 - Sociedade Anônima Aberta,TESTO SALTO,89.074-700,SC
ELECTRO AÇO ALTONA S/A,ELECTRO ACO ALTONA S A,82.643.537/0001-34,Fundição de ferro e aço,24.51-2-00,ATIVA,,07/05/1971,,,MATRIZ,204-6 - Sociedade Anônima Aberta,ITOUPAVA SECA,89.030-900,SC
TÊXTIL RENAUXVIEW S/A,TEXTIL RENAUXVIEW SA,82.982.075/0001-80,Tecelagem de fios de algodão,13.21-9-00,ATIVA,RENAUXVIEW,27/04/1925,marta@renauxview.com.br,(47) 3255-1000 / (47) 3255-1125 / (47) 3255-1008,MATRIZ,204-6 - Sociedade Anônima Aberta,CENTRO,88.351-020,SC
PBG S/A,PBG S/A,83.475.913/0001-91,Fabricação de azulejos e pisos,23.42-7-01,ATIVA,,17/10/1977,,,MATRIZ,204-6 - Sociedade Anônima Aberta,CENTRO,88.200-000,SC
CENTRAIS ELETRICAS DE SANTA CATARINA S.A,CENTRAIS ELETRICAS DE SANTA CATARINA SA,83.878.892/0001-55,Holdings de instituições não-financeiras,64.62-0-00,ATIVA,CELESC,26/10/1970,marcioo@celesc.com.br,(48) 3231-5000,MATRIZ,203-8 - Sociedade de Economia Mista,ITACORUBI,88.034-900,SC
WEG SA,WEG SA,84.429.695/0001-11,Holdings de instituições não-financeiras,64.62-0-00,ATIVA,WEG,29/05/1969,contabil1@weg.net,(47) 3276-4000/ (47) 3276-4775,MATRIZ,204-6 - Sociedade Anônima Aberta,VILA LALAU,89.256-900,SC
TUPY SA,TUPY S/A,84.683.374/0001-49,"Comércio atacadista de produtos siderúrgicos e metalúrgicos, exceto para construção",46.85-1-00,ATIVA,,03/08/1966,pedrohe@tupy.com.br,(47) 4009-8389,MATRIZ,204-6 - Sociedade Anônima Aberta,VILA OLIMPIA,04.548-005,SP
DOHLER S.A.,DOHLER S.A.,84.683.408/0001-03,Tecelagem de fios de algodão,13.21-9-00,ATIVA,,08/08/1966,dohler@dohler.com.br,(47) 3441-1666/ (47) 3441-1777,MATRIZ,204-6 - Sociedade Anônima Aberta,ZONA INDUSTRIAL NORT,89.219-902,SC
WETZEL S.A. EM RECUPERAÇÃO JUDICIAL,WETZEL S/A EM RECUPERACAO JUDICIAL,84.683.671/0001-94,Fabricação de peças e acessórios para o sistema motor de veículos automotores,29.41-7-00,ATIVA,,04/08/1966,contabil@wetzel.com.br,(47) 3451-4033 / (47) 3451-8500 / (47) 3451-4024,MATRIZ,204-6 - Sociedade Anônima Aberta,DISTRITO INDUSTRIAL,89.219-600,SC
SCHULZ SA,SCHULZ S/A,84.693.183/0001-68,"Fabricação de compressores para uso industrial, peças e acessórios",28.14-3-01,ATIVA,SCHULZ,22/09/1966,edimor.vaz@schulz.com.br,(047) 4516-000,MATRIZ,204-6 - Sociedade Anônima Aberta,INDUSTRIAL,89.219-530,SC
